title,source,author,date,length,wordcount,totalsearchresults,relevancescore,contentcomponentid,vendorreportid,docid
"More than 200 Businesses Rebuke Attacks on our Democracy and Call for a Peaceful Transfer of Power Signatories include Best Buy , Dow, Levi Strauss & Co, PepsiCo , The Estee Lauder Companies, Salesforce , and Etsy, among other Civic Alliance member companies",PR Newswire,,2021-01-07,496 words,496,19,49,8054,PRNEWS2021,urn:contentItem:61PS-KKR1-DXP3-R35W-00000-00
Cadalys Inc. and Geneia LLC Partner to Deliver Population Health Engagement at Scale on Salesforce Health Cloud Combined capabilities offer critical out-of-the-box decision support and predictive analytics for health payers.,Business Wire,,2021-01-07,883 words,883,19,46,7924,BWIRE2021,urn:contentItem:61PM-MP51-DXY3-01H8-00000-00
"Customer Service Software Market 2021 | Know the Latest COVID19 Impact Analysis and Strategies | Agile CRM , Freshworks , HappyFox , HubSpot ,, LiveChat , Oracle - The Courier",University Wire,,2021-01-07,783 words,783,19,44,172244,UWIRE2021,urn:contentItem:61PS-V721-DY7P-T29W-00000-00
"Cloud Infrastructure in Chemical Market 2021 Global Overview, Growth, Size, Opportunities, Trends, Leading Company Analysis and Forecast to 2026 - The Courier",University Wire,,2021-01-07,1148 words,1148,19,40,172244,UWIRE2021,urn:contentItem:61PS-V721-DY7P-T29K-00000-00
"Modus Advisors LLC Acquires 1,885 Shares of salesforce.com, inc. ( NYSE :CRM)",American Banking and Market News,,2021-01-08,871 words,871,12,142,439934,AMBNWS2021,urn:contentItem:61R0-PR51-JB40-X4VY-00000-00
"Modus Advisors LLC Buys 1,885 Shares of salesforce.com, inc. ( NYSE :CRM)",Transcript Daily,,2021-01-08,1019 words,1019,12,138,484294,AMCN-10009368,urn:contentItem:61R0-XHJ1-F03R-N414-00000-00
"Insider Selling: salesforce.com, inc. ( NYSE :CRM) Insider Sells 5,000 Shares of Stock",American Banking and Market News,,2021-01-08,874 words,874,12,136,439934,AMBNWS2021,urn:contentItem:61PW-28S1-DXK2-M1NB-00000-00
"salesforce.com, inc. ( NYSE :CRM) Insider Sells $1,114,550.00 in Stock",Watchlist News,,2021-01-08,786 words,786,12,126,484299,AMCN-135127,urn:contentItem:61PV-8GX1-JCMN-Y3J6-00000-00
"salesforce.com, inc. ( NYSE :CRM) Shares Sold by State of Alaska Department of Revenue",American Banking and Market News,,2021-01-08,968 words,968,12,120,439934,AMBNWS2021,urn:contentItem:61R0-PR51-JB40-X55P-00000-00
"Srinivas Tallapragada Sells 5,000 Shares of salesforce.com, inc. ( NYSE :CRM) Stock",DailyPolitical,,2021-01-08,930 words,930,12,117,484233,AMCN-116307,urn:contentItem:61PW-MFT1-JCMN-Y3HC-00000-00
"Trust Co. of Toledo NA OH Has $3.93 Million Stock Holdings in salesforce.com, inc. ( NYSE :CRM)",American Banking and Market News,,2021-01-08,1030 words,1030,12,114,439934,AMBNWS2021,urn:contentItem:61R0-PR61-JB40-X07K-00000-00
"salesforce.com, inc. ( NYSE :CRM) Receives Average Rating of 'Buy' from Brokerages",Ticker Report,,2021-01-09,857 words,857,10,127,484293,AMCN-126392,urn:contentItem:61R2-6R71-F03R-N52H-00000-00
"Diversified Trust Co Buys 1,398 Shares of salesforce.com, inc. ( NYSE :CRM)",American Banking and Market News,,2021-01-09,894 words,894,10,123,439934,AMBNWS2021,urn:contentItem:61R3-0H81-JB40-X493-00000-00
"salesforce.com, inc. ( NYSE :CRM) Insider Srinivas Tallapragada Sells 5,000 Shares",Transcript Daily,,2021-01-09,886 words,886,10,122,484294,AMCN-10009368,urn:contentItem:61R3-HWR1-F03R-N3BD-00000-00
"Creative Financial Designs Inc. ADV Buys 1,746 Shares of salesforce.com, inc. ( NYSE :CRM)",Zolmax.com,,2021-01-09,908 words,908,10,115,484302,AMCN-116308,urn:contentItem:61R2-6R71-F03R-N4JM-00000-00
"salesforce.com, inc. ( NYSE :CRM) Given Average Rating of ""Buy"" by Brokerages",American Banking and Market News,,2021-01-09,925 words,925,10,111,439934,AMBNWS2021,urn:contentItem:61R3-0H81-JB40-X3BG-00000-00
"salesforce.com, inc. ( NYSE :CRM) Given Average Rating of 'Buy' by Brokerages",DailyPolitical,,2021-01-09,986 words,986,10,103,484233,AMCN-116307,urn:contentItem:61R2-6R71-F03R-N3JD-00000-00
"Electronic Data Interchange Solutions Market Revenue Sizing Outlook Appears Bright | CovalentWorks, Cleo, Salesforce.com , SPS Commerce, TrueCommerce",iCrowdNewswire (English),,2021-01-09,1388 words,1388,10,33,433665,ICRWDE 202,urn:contentItem:61R6-M0M1-F08D-53RD-00000-00
Reviewing Arista Networks ( NYSE :ANET) & China Crescent Enterprises (OTCMKTS:CCTR),American Banking and Market News,,2021-01-09,791 words,791,10,25,439934,AMBNWS2021,urn:contentItem:61R3-0H81-JB40-X4J4-00000-00
Arista Networks ( NYSE :ANET) & China Crescent Enterprises (OTCMKTS:CCTR) Head-To-Head Comparison,Watchlist News,,2021-01-09,870 words,870,10,24,484299,AMCN-135127,urn:contentItem:61R2-6R91-F03R-N164-00000-00
"$5.68 Billion in Sales Expected for salesforce.com, inc. ( NYSE :CRM) This Quarter",Transcript Daily,,2021-01-10,1124 words,1124,2,105,484294,AMCN-10009368,urn:contentItem:61R8-8M91-F03R-N0H1-00000-00
Comparing China Crescent Enterprises (OTCMKTS:CCTR) & Arista Networks ( NYSE :ANET),American Banking and Market News,,2021-01-10,781 words,781,2,25,439934,AMBNWS2021,urn:contentItem:61RD-M6W1-JB40-X4F7-00000-00
"Epiq Partners LLC Boosts Holdings in salesforce.com, inc. ( NYSE :CRM)",Transcript Daily,,2021-01-11,1070 words,1070,18,119,484294,AMCN-10009368,urn:contentItem:61RM-V0W1-F03R-N518-00000-00
"Louisiana State Employees Retirement System Has $12.64 Million Position in salesforce.com, inc. ( NYSE :CRM)",American Banking and Market News,,2021-01-11,948 words,948,18,116,439934,AMBNWS2021,urn:contentItem:61RM-M9P1-DXK2-M302-00000-00
"Chesley Taft & Associates LLC Has $11.14 Million Stock Position in salesforce.com, inc. ( NYSE :CRM)",American Banking and Market News,,2021-01-11,888 words,888,18,116,439934,AMBNWS2021,urn:contentItem:61RG-YK01-DXK2-M180-00000-00
10 Biggest Price Target Changes For Monday,Benzinga.com,Lisa Levin,2021-01-11,276 words,276,18,54,401674,BENZGA2021,urn:contentItem:61RG-BX41-JBDN-3044-00000-00
Piper Sandler Lowers salesforce.com ( NYSE :CRM) to Neutral,American Banking and Market News,,2021-01-11,863 words,863,18,45,439934,AMBNWS2021,urn:contentItem:61RG-YJY1-DXK2-M517-00000-00
Piper Sandler Downgrades salesforce.com ( NYSE :CRM) to Neutral,American Banking and Market News,,2021-01-11,916 words,916,18,42,439934,AMBNWS2021,urn:contentItem:61RG-YK01-DXK2-M1R6-00000-00
"Enterprise Software Market is Expected to Grow at USD 634 Billion by 2023, at 8% of CAGR Between 2017 and 2023",iCrowdNewswire (English),,2021-01-11,951 words,951,18,30,433665,ICRWDE2021,urn:contentItem:61RH-6KX1-F08D-53M7-00000-00
China Crescent Enterprises (OTCMKTS:CCTR) & Arista Networks ( NYSE :ANET) Head to Head Comparison,Transcript Daily,,2021-01-11,810 words,810,18,25,484294,AMCN-10009368,urn:contentItem:61RD-T721-F03R-N1SM-00000-00
"Hexavest Inc. Has $10.23 Million Stock Holdings in salesforce.com, inc. ( NYSE :CRM)",American Banking and Market News,,2021-01-12,938 words,938,37,140,439934,AMBNWS2021,urn:contentItem:61RR-0J91-DXK2-M1TY-00000-00
"Huntington National Bank Buys 1,435 Shares of salesforce.com, inc. ( NYSE :CRM)",American Banking and Market News,,2021-01-12,916 words,916,37,140,439934,AMBNWS2021,urn:contentItem:61RR-0J91-DXK2-M2WV-00000-00
"Granite Investment Advisors LLC Cuts Position in salesforce.com, inc. ( NYSE :CRM)",DailyPolitical,,2021-01-12,996 words,996,37,139,484233,AMCN-116307,urn:contentItem:61RR-J8B1-JCMN-Y50M-00000-00
"Bainco International Investors Acquires 1,093 Shares of salesforce.com, inc. ( NYSE :CRM)",American Banking and Market News,,2021-01-12,990 words,990,37,138,439934,AMBNWS2021,urn:contentItem:61RV-M271-JB40-X4D5-00000-00
"Huntington National Bank Has $9.35 Million Stock Holdings in salesforce.com, inc. ( NYSE :CRM)",American Banking and Market News,,2021-01-12,860 words,860,37,134,439934,AMBNWS2021,urn:contentItem:61RR-0J91-DXK2-M2WJ-00000-00
"Red Door Wealth Management LLC Invests $1 Million in salesforce.com, inc. ( NYSE :CRM)",DailyPolitical,,2021-01-12,933 words,933,37,133,484233,AMCN-116307,urn:contentItem:61RV-TMN1-JCMN-Y1Y4-00000-00
"Granite Investment Advisors LLC Lowers Stock Position in salesforce.com, inc. ( NYSE :CRM)",Zolmax.com,,2021-01-12,925 words,925,37,132,484302,AMCN-116308,urn:contentItem:61RR-J8C1-JCMN-Y0RB-00000-00
"Cypress Capital Group Increases Stake in salesforce.com, inc. ( NYSE :CRM)",American Banking and Market News,,2021-01-12,1059 words,1059,37,126,439934,AMBNWS2021,urn:contentItem:61RV-M271-JB40-X2R0-00000-00
"Norway Savings Bank Acquires 595 Shares of salesforce.com, inc. ( NYSE :CRM)",American Banking and Market News,,2021-01-13,1012 words,1012,38,142,439934,AMBNWS2021,urn:contentItem:5SG6-7VY1-JB40-X2NF-00000-00
"salesforce.com, inc. ( NYSE :CRM) Stock Holdings Lifted by IFM Investors Pty Ltd",American Banking and Market News,,2021-01-13,900 words,900,38,140,439934,AMBNWS2021,urn:contentItem:61S3-1BV1-JB40-X08W-00000-00
"Raymond James Trust N.A. Grows Stake in salesforce.com, inc. ( NYSE :CRM)",American Banking and Market News,,2021-01-13,912 words,912,38,139,439934,AMBNWS2021,urn:contentItem:61S3-1BV1-JB40-X09C-00000-00
"Hohimer Wealth Management LLC Boosts Stake in salesforce.com, inc. ( NYSE :CRM)",Ticker Report,,2021-01-13,1027 words,1027,38,139,484293,AMCN-126392,urn:contentItem:61RV-TM81-F03R-N1W9-00000-00
"Pacific Wealth Strategies Group Inc. Acquires 1,857 Shares of salesforce.com, inc. ( NYSE :CRM)",American Banking and Market News,,2021-01-13,968 words,968,38,139,439934,AMBNWS2021,urn:contentItem:61S3-1BV1-JB40-X095-00000-00
"Xcel Wealth Management LLC Acquires 3,828 Shares of salesforce.com, inc. ( NYSE :CRM)",American Banking and Market News,,2021-01-13,988 words,988,38,139,439934,AMBNWS2021,urn:contentItem:5SG6-7VY1-JB40-X18B-00000-00
"Xcel Wealth Management LLC Buys 3,828 Shares of salesforce.com, inc. ( NYSE :CRM)",DailyPolitical,,2021-01-13,1100 words,1100,38,135,484233,AMCN-116307,urn:contentItem:61RY-GG61-JCMN-Y0VS-00000-00
"KMG Fiduciary Partners LLC Increases Stock Position in salesforce.com, inc. ( NYSE :CRM)",American Banking and Market News,,2021-01-13,904 words,904,38,123,439934,AMBNWS2021,urn:contentItem:61S2-K961-JB40-X2M1-00000-00
"Redpoint Investment Management Pty Ltd Increases Stock Position in salesforce.com, inc. ( NYSE :CRM)",American Banking and Market News,,2021-01-13,958 words,958,38,121,439934,AMBNWS2021,urn:contentItem:5SG6-7VY1-JB40-X20G-00000-00
"Crossmark Global Holdings Inc. Boosts Holdings in salesforce.com, inc. ( NYSE :CRM)",American Banking and Market News,,2021-01-14,980 words,980,36,148,439934,AMBNWS2021,urn:contentItem:61S9-0901-JB40-X0SB-00000-00
"salesforce.com, inc. ( NYSE :CRM) Insider Sells $928,456.00 in Stock",American Banking and Market News,,2021-01-14,784 words,784,36,148,439934,AMBNWS2021,urn:contentItem:61S4-WMF1-JB40-X32Y-00000-00
"Cullinan Associates Inc. Sells 1,387 Shares of salesforce.com, inc. ( NYSE :CRM)",American Banking and Market News,,2021-01-14,929 words,929,36,145,439934,AMBNWS2021,urn:contentItem:61S8-HP71-DXK2-M46F-00000-00
"salesforce.com, inc. ( NYSE :CRM) Shares Sold by Mountain Capital Investment Advisors Inc",American Banking and Market News,,2021-01-14,950 words,950,36,144,439934,AMBNWS2021,urn:contentItem:61S4-WMF1-JB40-X3VX-00000-00
"Investment House LLC Raises Stock Holdings in salesforce.com, inc. ( NYSE :CRM)",Transcript Daily,,2021-01-14,966 words,966,36,139,484294,AMCN-10009368,urn:contentItem:61S2-T961-F03R-N4PG-00000-00
"Norway Savings Bank Acquires 595 Shares of salesforce.com, inc. ( NYSE :CRM)",Ticker Report,,2021-01-14,1082 words,1082,36,135,484293,AMCN-126392,urn:contentItem:61S4-3H51-JCMN-Y4RR-00000-00
"James Hambro & Partners Has $898,000 Holdings in salesforce.com, inc. ( NYSE :CRM)",Transcript Daily,,2021-01-14,1028 words,1028,36,135,484294,AMCN-10009368,urn:contentItem:61S8-S2D1-JCMN-Y476-00000-00
"Raymond James Trust N.A. Buys 520 Shares of salesforce.com, inc. ( NYSE :CRM)",Ticker Report,,2021-01-14,996 words,996,36,133,484293,AMCN-126392,urn:contentItem:61S2-TCN1-JCMN-Y3V8-00000-00
"Bay Rivers Group Increases Stake in salesforce.com, inc. ( NYSE :CRM)",American Banking and Market News,,2021-01-15,998 words,998,45,142,439934,AMBNWS2021,urn:contentItem:61SG-H541-DXK2-M1K9-00000-00
"salesforce.com, inc. ( NYSE :CRM) Shares Bought by Leelyn Smith LLC",American Banking and Market News,,2021-01-15,916 words,916,45,142,439934,AMBNWS2021,urn:contentItem:61SG-YN31-DXK2-M27W-00000-00
"salesforce.com, inc. ( NYSE :CRM) Shares Bought by Clarius Group LLC",American Banking and Market News,,2021-01-15,943 words,943,45,140,439934,AMBNWS2021,urn:contentItem:61SG-H541-DXK2-M0YD-00000-00
"Signature Wealth Management Group Invests $1.06 Million in salesforce.com, inc. ( NYSE :CRM)",American Banking and Market News,,2021-01-15,987 words,987,45,139,439934,AMBNWS2021,urn:contentItem:61SG-YN31-DXK2-M1VJ-00000-00
"Salesforce . Com, Inc. Sells 300 Shares of nCino, Inc. ( NASDAQ :NCNO) Stock",American Banking and Market News,,2021-01-15,514 words,514,45,138,439934,AMBNWS2021,urn:contentItem:61SB-VCX1-JB40-X1MT-00000-00
"Bellecapital International Ltd. Makes New Investment in salesforce.com, inc. ( NYSE :CRM)",Zolmax.com,,2021-01-15,974 words,974,45,138,484302,AMCN-116308,urn:contentItem:61SC-DH21-JCMN-Y4Y0-00000-00
"Salesforce . Com, Inc. Sells 101,300 Shares of nCino, Inc. ( NASDAQ :NCNO) Stock",Ticker Report,,2021-01-15,582 words,582,45,138,484293,AMCN-126392,urn:contentItem:61SC-DH31-JCMN-Y0DP-00000-00
"Bellecapital International Ltd. Purchases Shares of 908 salesforce.com, inc. ( NYSE :CRM)",DailyPolitical,,2021-01-15,990 words,990,45,136,484233,AMCN-116307,urn:contentItem:61SC-DH21-JCMN-Y40X-00000-00
"Larson Financial Group LLC Has $33,000 Stake in salesforce.com, inc. ( NYSE :CRM)",Ticker Report,,2021-01-15,938 words,938,45,136,484293,AMCN-126392,urn:contentItem:61SC-DH31-JCMN-Y0FX-00000-00
"Ardevora Asset Management LLP Has $52.83 Million Stake in salesforce.com, inc. ( NYSE :CRM)",American Banking and Market News,,2021-01-15,990 words,990,45,135,439934,AMBNWS2021,urn:contentItem:61SG-H531-DXK2-M421-00000-00
"Rowland Carmichael Advisors Inc. ADV Cuts Stock Position in salesforce.com, inc. ( NYSE :CRM)",Transcript Daily,,2021-01-16,1025 words,1025,8,133,484294,AMCN-10009368,urn:contentItem:61SG-RKT1-F03R-N55C-00000-00
"salesforce.com, inc. ( NYSE :CRM) Short Interest Update",American Banking and Market News,,2021-01-16,882 words,882,8,121,439934,AMBNWS2021,urn:contentItem:61SJ-T2D1-JB40-X30X-00000-00
"Leelyn Smith LLC Raises Holdings in salesforce.com, inc. ( NYSE :CRM)",DailyPolitical,,2021-01-16,1050 words,1050,8,121,484233,AMCN-116307,urn:contentItem:61SJ-0RN1-F03R-N2FB-00000-00
"salesforce.com, inc. ( NYSE :CRM) Shares Bought by Leelyn Smith LLC",Zolmax.com,,2021-01-16,963 words,963,8,120,484302,AMCN-116308,urn:contentItem:61SJ-0RN1-F03R-N353-00000-00
Technavio Offers Report on the Digital Retail Marketing Market,Wireless News(Close-up Media),,2021-01-16,307 words,307,8,82,345215,WNCLPM2021,urn:contentItem:61SJ-SGY1-F06S-P11N-00000-00
Financial Comparison: Strasbaugh (OTCMKTS:STRB) versus Intevac ( NASDAQ :IVAC),Transcript Daily,,2021-01-16,568 words,568,8,23,484294,AMCN-10009368,urn:contentItem:61SJ-0RN1-F03R-N1PS-00000-00
"Bowling Portfolio Management LLC Sells 232 Shares of salesforce.com, inc. ( NYSE :CRM)",Zolmax.com,,2021-01-17,1011 words,1011,4,116,484302,AMCN-116308,urn:contentItem:61ST-8JF1-F03R-N3SF-00000-00
Credit Suisse Group Increases salesforce.com ( NYSE :CRM) Price Target to $260.00,Transcript Daily,,2021-01-17,907 words,907,4,39,484294,AMCN-10009368,urn:contentItem:61ST-8JF1-F03R-N297-00000-00
"nCino, Inc. ( NASDAQ :NCNO) VP Sells $78,081.30 in Stock",DailyPolitical,,2021-01-17,590 words,590,4,39,484233,AMCN-116307,urn:contentItem:61ST-8JF1-F03R-N336-00000-00
KeyCorp Lowers nCino ( NASDAQ :NCNO) Price Target to $80.00,Transcript Daily,,2021-01-17,667 words,667,4,36,484294,AMCN-10009368,urn:contentItem:61ST-8JF1-F03R-N1XH-00000-00
Global Field Service Management Software Market to Grow by $ 3.43 Billion During 2020-2024 | Adoption of Various Pricing Strategies by Vendors to Boost Growth | Technavio,Business Wire,,2021-01-18,858 words,858,6,31,7924,BWIRE2021,urn:contentItem:61T1-PRH1-DXY3-03SJ-00000-00
"Digital Marketing Software (DMS) Market Share and Industry Growth with Key Players - Oracle Corporation , Microsoft Corporation , Adobe Systems Incorporated , and More",ReleaseWire,,2021-01-18,1648 words,1648,6,30,484276,SBWI-7162,urn:contentItem:61T1-7R51-JCMN-Y2ST-00000-00
